id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40755792,Private Master Bedroom IIT/McCormick-Free Parking!,55981575,Michael,,Douglas,41.8288,-87.6193,Private room,55,2,0,,,4,0
40756354,Luxury 2 Bedroom Home with Free Garage Parking!,206009013,Maximillian,,Logan Square,41.91645,-87.66954,Entire home/apt,750,1,0,,,30,0
40757854,GOATHOTE | NEW 1/1 APT | ARTSY PILSEN NEIGHBORHOOD,244000490,Goathote,,Lower West Side,41.84964,-87.67624,Entire home/apt,70,1,9,2020-06-04,1.58,19,274
40758108,"Bright space! 10 mins from Downtown,near Blue line",299507980,Breanna,,Near West Side,41.87742,-87.68002,Private room,49,1,1,2020-02-18,0.24,3,173
40758460,"Illinois Medical District,near UIC,  United Center",299507980,Breanna,,Near West Side,41.87527,-87.68097,Entire home/apt,120,1,2,2020-01-05,0.34,3,276
40758603,1B/2.5B Wicker Park Gem in the Heart of Chicago,206009013,Maximillian,,Logan Square,41.91519,-87.6713,Entire home/apt,750,1,1,2020-03-24,0.34,30,0
40775048,**WOW** In the Heart of Downtown Chicago**,218800805,Chicago Condo,,Near North Side,41.8933,-87.6183,Private room,48,25,0,,,14,0
40775103,"CLEAN PLACE FOR 2 PEOPLE, QUIET SAFE AREA +PARKING",55976787,Natalia,,Near West Side,41.87886,-87.64118,Private room,10,1,18,2020-03-21,2.87,83,253
40775104,Spacious 2B/2BA in Luxury LincolnPark Neighborhood,206009013,Maximillian,,Lincoln Park,41.93258,-87.65158,Entire home/apt,750,1,2,2020-02-23,0.33,30,0
40775509,"COZY LOFT & PARKING, CENTRAL AREA TO VISIT CHICAGO",55976787,Natalia,,Near West Side,41.87816,-87.63938,Private room,10,1,38,2020-06-01,6.16,83,256
40775706,QUIET DOWNTOWN LOCATION WITH FREE PARKING BY RUSH,55976787,Natalia,,Near West Side,41.87314,-87.65038,Private room,10,1,10,2020-03-15,1.73,83,256
40776859,"CLEAN APARTMENT 5 MIN TO RUSH, UIC & LOOP +PARKING",55976787,Natalia,,Near West Side,41.87205,-87.65055,Private room,10,1,17,2020-03-03,2.79,83,255
40777128,"Unique loft River North
Shared",51668477,Michael,,Near North Side,41.88908,-87.63203,Private room,99,1,7,2020-05-10,1.37,8,339
40777313,1B/2BA Single Family Home Near Train and Wrigley,206009013,Maximillian,,Lincoln Park,41.93074,-87.65129,Entire home/apt,750,1,0,,,30,0
40777669,✔Self Checkin✔Business✔Blazing WIFI✔Family✔,243270124,William,,Grand Boulevard,41.8079,-87.62252,Entire home/apt,60,1,3,2020-05-23,0.48,2,269
40778091,AMAZING LOCATION TO EXPLORE CHICAGO WITH PARKING,55976787,Natalia,,Near West Side,41.86874,-87.65717,Private room,10,1,12,2020-03-10,1.96,83,256
40778302,LAKEVIEW TOP FLOOR APARTMENT W/ FIRE PLACE LAUNDRY,49626033,Roma,,Lake View,41.93857,-87.66575,Entire home/apt,48,31,0,,,26,365
40778307,"Escape to The Rosemoor, 15 mins to Downtown & Lake",316809744,Morris,,Roseland,41.70506,-87.60982,Entire home/apt,80,2,1,2020-05-31,1,1,168
40800681,Marley’s Resort,317120638,Anthony,,Chatham,41.74511,-87.59999,Entire home/apt,125,1,0,,,1,88
40802486,37th Beautiful Townhome 15 Mins-DT Full Kitchen,92129084,Russell,,Douglas,41.82641,-87.62416,Entire home/apt,117,2,2,2020-01-01,0.34,7,167
40812990,4bedrm 2bath. Westloop/ United center stadium.,306943744,Joe,,Near West Side,41.88202,-87.67923,Entire home/apt,200,1,0,,,7,365
40822870,Cozy room steps from the Subway,46820434,Ivan,,North Lawndale,41.85367,-87.70417,Private room,22,1,1,2020-03-08,0.29,4,90
40837290,Beautiful condo steps from the Magnificent Mile!,2869626,Savannah,,Near North Side,41.89256,-87.62079,Entire home/apt,150,2,5,2020-02-16,0.86,1,0
40838400,Multi Level Vintage 3BR/3BA Home in Bucktown,206009013,Maximillian,,North Center,41.93846,-87.68568,Entire home/apt,750,1,1,2020-03-30,0.37,30,0
40839133,Roscoe Village Holiday Getaway - Large 2B/3BA Home,206009013,Maximillian,,North Center,41.93998,-87.68489,Entire home/apt,750,1,0,,,30,0
40840679,Vintage 4B/3BA Home with Self Check-In & Parking,206009013,Maximillian,,North Center,41.939,-87.68406,Entire home/apt,750,1,1,2020-01-18,0.19,30,0
40840961,Upscale Spacious 2B/2BA Comfy Home Walk Everywhere,206009013,Maximillian,,Lake View,41.94578,-87.65966,Entire home/apt,750,1,0,,,30,138
40841031,Brand New! Classy 2BR in Trendy Logan Square❤️,148973907,Mia & Noah,,Logan Square,41.91586,-87.71184,Entire home/apt,500,1,26,2020-06-14,4.62,23,310
40841455,Safe place for $2150 JUNE Rates Hip 2BR Logan Sq,148973907,Mia & Noah,,Logan Square,41.9145,-87.71047,Entire home/apt,500,1,8,2020-06-13,1.50,23,314
40841844,Cozy and comfortable one bedroom in Edgewater,317844613,Jane,,Edgewater,41.97659,-87.65626,Private room,60,2,2,2020-02-02,0.35,1,117
40845061,Holiday Vacation Home 3B/2B With Garage Parking,206009013,Maximillian,,Lake View,41.94749,-87.66104,Entire home/apt,800,1,0,,,30,138
40847481,Private Studio walking distance to Wrigley Field .,33064281,Milen,,Lake View,41.95548,-87.66875,Entire home/apt,59,1,19,2020-05-25,3.15,2,102
40859740,芝加哥客栈 Chicago Motel UIC McCormick place,249026086,Yong,,Mckinley Park,41.83138,-87.66908,Entire home/apt,100,1,4,2020-03-05,0.69,2,168
40862469,**Private Room & Bath in the Heart of Downtown**,218800805,Chicago Condo,,Near North Side,41.89344,-87.61874,Private room,48,25,0,,,14,0
40864232,**Stunning Views! Private Room*Close 2 Everything!,218800805,Chicago Condo,,Near North Side,41.89355,-87.61898,Private room,48,25,0,,,14,0
40864437,"Kinzie Hotel, Deluxe King Non-Smoking",267605436,Kinzie Hotel,,Near North Side,41.88901,-87.62851,Private room,10000,1,27,2020-06-14,4.76,5,284
40866316,"Kinzie Hotel, Deluxe King City View Non-Smoking",267605436,Kinzie Hotel,,Near North Side,41.89332,-87.63538,Private room,10000,1,2,2020-06-09,2,5,286
40867900,"Kinzie Hotel, Deluxe Corner King Non-Smoking",267605436,Kinzie Hotel,,Near North Side,41.89314,-87.63701,Private room,10000,1,2,2020-06-14,1.76,5,287
40868335,Deluxe Two Queens Non-Smoking,267605436,Kinzie Hotel,,Near North Side,41.88998,-87.62855,Private room,10000,1,29,2020-06-14,5.12,5,287
40868409,Deluxe Two Queens City View Non-Smoking,267605436,Kinzie Hotel,,Near North Side,41.88885,-87.63006,Private room,10000,1,1,2020-01-03,0.18,5,280
40869848,1 bedroom furnished loft McCormick area,318173182,Justin,,Near South Side,41.855,-87.62104,Entire home/apt,88,4,1,2020-03-03,0.28,1,177
40870912,Room in safe Irving Park/Chicago,296851727,Iryna,,Irving Park,41.95591,-87.71155,Private room,42,2,5,2020-01-31,0.89,14,63
40871030,Beautifly Rehabbed Spacious Studio Appartment,315315574,Teresa,,Hermosa,41.92095,-87.7363,Entire home/apt,80,1,2,2020-03-15,0.61,1,169
40872725,Cozy Logan Sq Spot - 10 mins from Blue Line stop,229095817,Loftium,,Logan Square,41.92477,-87.70391,Entire home/apt,94,3,8,2020-03-18,1.56,43,86
40872757,Modern Lakeside Apartment,17462656,Katarina,,Rogers Park,42.01001,-87.65984,Entire home/apt,38,3,2,2020-01-20,0.37,1,0
40875572,Hotel Blake Downtown Chicago,231520869,Kalie,,Loop,41.87584,-87.62849,Private room,200,2,0,,,1,89
40882597,Historic Alta Vista Terrace District,23469090,Howard,,Lake View,41.95169,-87.65732,Entire home/apt,200,3,0,,,1,170
40883695,Convenient Loop 1BR w/ Gym + Theatre Room near Grant Park by Blueground,107434423,Blueground,,Loop,41.87976,-87.62663,Entire home/apt,126,30,0,,,213,305
40885446,A Sox Fan's Paradise! Private Single Family (NEW)!,16478285,Lindsay,,Bridgeport,41.82516,-87.64639,Entire home/apt,60,4,1,2019-12-17,0.16,1,0
40888652,RIVER NORTH 1 BED GYM POOL WASHER/DRYER VIEW (57),9400379,ExecuSuite Inc.,,Near North Side,41.89045,-87.63842,Entire home/apt,80,31,0,,,32,356
40888937,Efficiency Studio 2 Blocks from CTA Red Line Train,51271455,Matt,,Uptown,41.96457,-87.6636,Entire home/apt,100,1,0,,,1,0
40889049,RIVER NORTH 1 BED GYM POOL WASHER/DRYER VIEWS (66),9400379,ExecuSuite Inc.,,Near North Side,41.89147,-87.63765,Entire home/apt,80,31,0,,,32,334
40891503,Wrigley Field Group Getaway,36143772,Leigh,,North Center,41.94883,-87.68034,Entire home/apt,590,1,1,2020-03-14,0.31,1,179
40893299,Beauty in Beverly,114874493,Stefanie,,Morgan Park,41.69801,-87.66276,Entire home/apt,175,3,0,,,1,0
40894313,"10 MIN to downtwn,Private room & luxury bathroom!",229095817,Loftium,,Logan Square,41.9182,-87.6745,Entire home/apt,42,3,35,2020-06-14,6.14,43,72
40895214,A little Italy For Everyone,53484678,Chi Chi,,Near West Side,41.87382,-87.66299,Entire home/apt,81,1,8,2020-06-08,1.38,1,124
40897184,Easy access to train and buses to downtown,318557734,Anu (Mercy),,Edgewater,41.9924,-87.65792,Private room,50,1,0,,,1,179
40898000,Large Cozy 1BR APT in Roscoe Village/Wrigley!!,318578074,Jennifer,,North Center,41.94347,-87.67875,Entire home/apt,149,1,11,2020-05-29,2.08,1,85
40902567,"Warm, Spacious, Industrial West Loop Loft",134103112,Caelin,,Near West Side,41.87697,-87.64481,Entire home/apt,800,3,0,,,1,0
40908860,"Airy Lakeview Studio, walk to Lakefront & Lincoln Park, by Blueground",107434423,Blueground,,Lake View,41.94041,-87.6415,Entire home/apt,153,30,0,,,213,169
40918900,❤️Fresh & Sanitized & Cozy & Safe 2BR | Logan Sq❤️,148973907,Mia & Noah,,Logan Square,41.91375,-87.71104,Entire home/apt,500,1,8,2020-03-23,1.40,23,311
40919235,$2400 JUNE Sale! Clean & Elegant 2BR | Logan Sq ❤️,148973907,Mia & Noah,,Logan Square,41.91519,-87.71207,Entire home/apt,500,1,9,2020-05-31,1.54,23,314
40920885,Downtown Lofts,317916305,Tommy,,Near South Side,41.86132,-87.62626,Entire home/apt,175,2,1,2020-02-14,0.24,1,179
40925917,Luxury Apartment by The Ritz-Carlton Michigan Ave,49626033,Roma,,Near North Side,41.89978,-87.62053,Entire home/apt,85,31,0,,,26,180
40929961,3 bedrooms Beautiful cozy place,183258122,Santiago,,New City,41.79603,-87.66166,Entire home/apt,75,3,2,2020-02-22,0.47,7,321
40936383,"Sleek West Loop Studio w/ Gym, Pool, W/D, near RR, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,118,30,0,,,213,351
40938122,Entire 3 Bed/1.5 Baths Townhome/10 Mins from UofC,285083456,Marjorie,,South Shore,41.76745,-87.58867,Entire home/apt,200,5,9,2020-04-23,1.58,3,76
40938267,Holiday Vacay Old Town Luxury Home 2B/3.5BA,206009013,Maximillian,,Near North Side,41.90441,-87.63831,Entire home/apt,500,1,0,,,30,0
40940521,"Exclusive Streeterville 1BR w/ Lake Views, Pool, Deck, Gym, by Blueground",107434423,Blueground,,Near North Side,41.89825,-87.61868,Entire home/apt,130,30,0,,,213,333
40940568,"Urban West Loop 1BR w/ Gym, Pool, W/D, near the L & Restos, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,129,30,0,,,213,265
40944454,Cozy Apartment Steps from Wrigley Field!,229095817,Loftium,,Lake View,41.95085,-87.65618,Entire home/apt,60,3,10,2020-05-02,2.16,43,39
40945182,"StayGia | Chic Modern 2 BR Suite Right by Loyola University | w/ Gym, Garage and Meeting Room",280448155,Stay Gia,,Edgewater,41.99736,-87.65917,Entire home/apt,199,2,37,2020-05-25,6.42,4,40
40945530,Spacious Condo right by the University of Chicago,275439013,Imobhio,,Woodlawn,41.77848,-87.60287,Private room,40,2,0,,,1,0
40949874,Vibrant and Modern 2-Bedroom Home Near Downtown,8094939,Alex,,Near West Side,41.8744,-87.68644,Entire home/apt,100,2,11,2020-05-07,1.83,4,7
40951933,Nice quiet house,318548791,Juan Ramon,,Jefferson Park,41.97075,-87.77016,Private room,159,1,0,,,1,364
40952270,vintage loft apartment *no parties*,319094338,Jon,,Kenwood,41.8042,-87.604,Entire home/apt,100,1,1,2020-02-15,0.24,1,351
40962345,Cozy 3B/3.5BA Private Home in Old Town Chicago,206009013,Maximillian,,Near North Side,41.9066,-87.63683,Entire home/apt,500,1,0,,,30,0
40963188,Huge 2 Story Home/Minutes from Downtown Chicago!,319242020,Kelvin,,Englewood,41.77572,-87.64654,Entire home/apt,129,2,11,2020-06-14,1.93,1,82
40964130,StayGia | Contemporary 1 BR Corner Suite w/ Michigan Lake View | Right by Loyola University,280448155,Stay Gia,,Edgewater,41.99727,-87.6594,Entire home/apt,150,2,25,2020-05-15,4.39,4,36
40964139,"StayGia | Modern Stylish 3BR Suite by Loyola University | w/ Garage, Gym, Meeting Room and Outdoor Grill",280448155,Stay Gia,,Edgewater,41.99741,-87.66084,Entire home/apt,250,2,29,2020-06-04,5.03,4,34
40964912,"Bright Loop 1BR w/ Gym, Roofdeck, nr. Financial District, by Blueground",107434423,Blueground,,Loop,41.87711,-87.63385,Entire home/apt,113,30,0,,,213,358
40966015,37th Townhome Full Kitchen Free parking 15 Mins-DT,92129084,Russell,,Douglas,41.82706,-87.62433,Entire home/apt,60,2,6,2020-02-23,1.13,7,167
40966112,Luxury 1 Bed Home in the Heart of Old Town,206009013,Maximillian,,Near North Side,41.90649,-87.63771,Entire home/apt,500,1,0,,,30,0
40966946,Kasa | Chicago | Charming Studio River North Apartment,88566861,Kasa,,Near North Side,41.89438,-87.6283,Entire home/apt,149,3,2,2020-03-05,0.39,61,361
40966953,Kasa | Chicago | Gorgeous 1BD/1BA River North Apartment,88566861,Kasa,,Near North Side,41.89429,-87.62866,Entire home/apt,149,3,1,2020-01-06,0.18,61,298
40966956,Kasa | Chicago | Iconic 1BD/1BA River North Apartment,88566861,Kasa,,Near North Side,41.89404,-87.62856,Entire home/apt,149,3,4,2020-06-03,0.79,61,349
40966998,Kasa | Chicago | Adorable Studio River North Apartment,88566861,Kasa,,Near North Side,41.8941,-87.62948,Entire home/apt,149,3,2,2020-05-20,0.48,61,300
40966999,Kasa | Chicago | Luxurious 1BD/1BA River North Apartment,88566861,Kasa,,Near North Side,41.89483,-87.62791,Entire home/apt,149,3,2,2020-06-01,0.35,61,355
40967003,Kasa | Chicago | Epic Family 2BD/2BA River North Apartment,88566861,Kasa,,Near North Side,41.89399,-87.62989,Entire home/apt,149,3,5,2020-02-19,0.93,61,255
40967014,Kasa | Chicago | Family Perfect 2BD/2BA River North Apartment,88566861,Kasa,,Near North Side,41.8955,-87.62961,Entire home/apt,149,3,9,2020-05-31,1.59,61,279
40968939,257 2R - Cozy apartment close to McCormick,217094024,Helen,,Armour Square,41.85175,-87.63305,Entire home/apt,109,1,0,,,25,195
40984370,❤️Fresh & Gorgeous & Sanitized in Wicker Park❤️❤️,259688317,Vincent & Sofia,,West Town,41.90855,-87.66556,Entire home/apt,5000,1,7,2020-04-23,1.24,18,121
40988824,Convenient 3-Bedroom Guest Suite in Logan Square!,229095817,Loftium,,Logan Square,41.91469,-87.71647,Entire home/apt,63,3,7,2020-03-22,1.37,43,77
40991185,Rock Star Beach Pad on Lake Michigan with parking,252595263,Beach House,,Rogers Park,42.01926,-87.66542,Entire home/apt,199,1,9,2020-05-03,1.58,4,140
40992303,Modern and Spacious Victorian Suite in Wicker Park,229095817,Loftium,,West Town,41.90644,-87.68289,Entire home/apt,117,3,14,2020-05-02,2.82,43,4
40992817,Happy Home-Safe Private Rm with Free Parking,91186260,Jessie,,Washington Park,41.79567,-87.62606,Private room,28,8,0,,,5,90
41018199,"Practical South Loop Studio w/ Gym, Pool, W/D, near the L, by Blueground",107434423,Blueground,,Near South Side,41.86493,-87.62466,Entire home/apt,113,30,1,2020-04-04,0.39,213,0
41018220,"Airy West Loop Studio w/ Pool, Gym, W/D, nr. the L, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,122,30,0,,,213,319
41023937,Easily Accessible Sunny Penthouse,320220472,Mallory,,Uptown,41.96927,-87.66352,Private room,45,1,17,2020-03-18,2.98,1,15
41024535,Bedroom in vacant Lincoln Park apartment!,79353203,Ryan,,Lincoln Park,41.93053,-87.65655,Private room,33,1,4,2020-05-05,0.72,1,39
41026277,Luxury Modern home minutes from Downtown Chicago,320268661,Nael,,Lower West Side,41.85455,-87.6607,Entire home/apt,250,2,4,2020-02-19,0.75,1,179
41027630,Humboldt Full Kitchen Free Parking 20 Mins-ORD,92129084,Russell,,West Town,41.89676,-87.70131,Entire home/apt,97,2,4,2020-05-10,1.15,7,172
41028210,Spacious Condo Steps From Lake. 15 Mins To DT,320290439,Kymica,,South Shore,41.76507,-87.56531,Entire home/apt,55,1,16,2020-06-03,2.86,1,356
41030575,Shore Estate: A Hidden Gem (Day Events Only),320354423,Ms. Mack,,South Shore,41.75587,-87.57652,Entire home/apt,399,1,4,2020-03-15,0.91,1,333
41042258,"Roomy Loop 1BR w/ Fitness center near West Loop & the L, by Blueground",107434423,Blueground,,Loop,41.87711,-87.63385,Entire home/apt,113,30,0,,,213,311
41046519,The Sweet!,23316991,Maria Teresa,,Bridgeport,41.83328,-87.64824,Private room,36,1,11,2020-06-03,2.17,1,110
41047853,Cozy & Comfy Private Bedroom,221769456,Hassan,,West Ridge,41.99851,-87.69905,Private room,50,2,2,2020-02-10,0.35,2,365
41049932,Luxury Apartment. Great view of the Pier and Lake,16401609,Odion,,Near North Side,41.89048,-87.61806,Entire home/apt,120,2,1,2020-02-17,0.24,1,83
41054645,Cozy room with big window (Right by red line),296208054,Ferdousi,,Near North Side,41.89645,-87.62889,Private room,80,1,1,2020-01-18,0.20,3,0
41056612,Luxurious 2bed 2bath Condo in  ❤ of Wrigleyville,105407393,Ken,,Lake View,41.94674,-87.65607,Entire home/apt,175,1,1,2020-02-29,0.27,5,87
41060168,The Jefferson House,257582304,Courtney,,Washington Heights,41.70856,-87.64024,Private room,23,1,1,2019-12-27,0.17,1,243
41061691,Deluxe Room with FREE str parking,296851727,Iryna,,Irving Park,41.95645,-87.71117,Private room,39,2,9,2020-03-31,1.61,14,47
41062382,Big room in Irving Park/Close to L,296851727,Iryna,,Irving Park,41.95596,-87.71,Private room,33,2,4,2020-03-17,0.87,14,62
41062855,Room with Free str parking/Close to L,296851727,Iryna,,Irving Park,41.9543,-87.71091,Private room,37,2,10,2020-05-21,1.80,14,67
41063413,Luxury room close to Downtown,296851727,Iryna,,Irving Park,41.95472,-87.71089,Private room,38,2,11,2020-05-19,1.94,14,53
41077009,"55 inch Samsung tv free wifi
39 inch tv",146614661,Ashley,,Humboldt Park,41.89015,-87.71539,Entire home/apt,450,2,0,,,1,0
41079520,Wicker Park Retreat,178653120,Caitlyn,,West Town,41.90584,-87.68453,Private room,98,1,1,2020-02-16,0.24,1,81
41080235,Cozy High End South Loop Condominium,227746347,Leon,,Loop,41.8698,-87.63189,Entire home/apt,325,1,2,2020-03-08,0.48,1,180
41080332,Park Manor Guest Suite,111685784,Markeith,,Greater Grand Crossing,41.76245,-87.61594,Entire home/apt,35,1,7,2020-06-04,1.58,1,248
41081508,NEW! Premium Downtown Location! 2 BD-Modern & Cozy,204907344,Ana,,Loop,41.86889,-87.6243,Entire home/apt,148,2,4,2020-03-15,0.69,1,10
41105594,Sunny Apartment in McKinley Park,3628966,Hector,,Mckinley Park,41.83427,-87.6781,Entire home/apt,100,2,1,2020-02-15,0.24,1,0
41106007,Charming Lakeview Suite In A Fantastic Location!,229095817,Loftium,,Lake View,41.95267,-87.65292,Entire home/apt,45,1,15,2020-06-03,2.94,43,43
41114355,Cozy and Comfy in Lakeview,226433030,Sam,,Lake View,41.94148,-87.64453,Entire home/apt,120,3,1,2020-03-16,0.31,1,81
41115537,Bedroom With Bathroom In Art House (Muladhara),3986873,Elena,,Uptown,41.97205,-87.65759,Private room,50,3,2,2020-05-31,0.61,14,129
41116410,Vibrant 1BD | Steps from the Lake | Gold Star,288925158,Gold Star,,Edgewater,41.98371,-87.65851,Entire home/apt,102,1,21,2020-04-29,3.62,5,343
41118135,B1 Cozy Night's Stay - Two Bedroom Suite Chicago,317530111,Rolan & Bill,,East Garfield Park,41.87841,-87.703,Private room,20,1,6,2020-04-19,1.44,8,4
41125133,Great location for the right price!,9108681,Jeronimo,,West Town,41.9033,-87.6987,Private room,90,1,0,,,1,365
41127823,The Hamilton,82940996,Joelynn,,Douglas,41.84267,-87.61701,Entire home/apt,53,1,4,2020-05-25,0.93,1,0
41134887,LOOP RANDOLPH TOWER STUDIO GYM POOL DOWNTOWN (30),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,80,31,1,2020-04-04,0.39,32,327
41136340,"Sunny,Comfortable,CleanTop Location at Lake,Beach",5186892,Jane,,Rogers Park,42.0075,-87.66123,Private room,60,1,16,2020-03-15,3.14,1,190
